Age,EstimatedSalary,Purchased
46,84234,0
32,57954,1
25,97459,0
38,77163,0
36,69934,0
40,72098,1
28,23486,0
28,104900,1
41,144020,1
41,120795,0
20,105508,0
39,136324,0
19,78566,0
41,45192,0
47,19062,1
19,102076,0
38,107780,0
50,39689,0
29,29174,1
39,106461,0
42,144174,0
44,121033,1
45,27348,1
33,56102,0
32,92460,0
20,120634,1
24,107930,0
38,24801,0
26,121150,0
35,19542,0
21,39677,1
42,57081,1
31,111105,0
26,37065,0
43,106092,0
19,72693,0
37,44962,1
45,46295,0
24,31807,0
25,150396,0
31,109267,0
34,37870,0
21,44790,1
19,136874,0
23,43289,1
21,33485,0
46,62482,0
35,104188,0
43,22748,1
27,21709,1
31,141961,0
48,48355,0
32,60918,1
25,70224,0
31,57298,0
40,98219,1
38,79629,0
33,84040,0
35,46016,0
41,41960,0
43,51591,0
42,121333,1
46,132821,0
32,54395,0
18,147695,0
42,52620,0
24,146148,1
26,38559,0
41,111396,0
18,39732,1
25,109362,0
41,31843,0
28,132065,0
34,89726,0
25,35640,0
50,70528,0
22,56413,1
45,70638,0
24,128133,0
26,124357,0
25,96859,0
29,117657,1
50,29023,0
40,39447,0
41,143899,1
39,41959,0
44,84203,0
18,137156,0
31,27337,0
20,64427,1
18,79529,0
22,120023,0
43,102665,0
31,123787,1
44,51307,0
26,145016,1
32,22835,0
32,38159,1
43,139790,1
30,123616,1
49,96752,1
49,73284,0
21,75043,0
47,115007,0
40,100844,0
32,45532,0
46,140402,0
30,136012,0
49,74178,0
24,67407,1
39,68990,0
45,147473,1
19,76141,1
23,74570,1
45,19015,0
45,79813,1
37,45712,1
47,118497,1
28,130816,0
45,146778,0
42,80292,0
50,41833,0
18,38309,0
44,24970,1
30,90474,1
20,64540,0
23,36017,1
25,93880,0
44,123570,1
26,26702,1
50,149456,0
41,18404,0
32,30763,1
49,116142,0
49,98642,0
41,68612,1
29,41574,0
19,41524,1
20,28916,0
34,22809,1
19,139288,0
19,56765,1
45,63106,1
40,71932,0
49,75091,0
50,39949,1
18,55744,0
36,126319,0
19,110193,0
43,54187,0
49,142454,1
23,32489,0
49,79877,0
21,67922,0
28,112074,0
34,55131,0
41,133765,0
22,91963,1
23,124884,0
39,143917,0
28,42285,1
33,55626,0
50,37198,1
26,33254,0
23,62238,0
33,19252,0
46,57764,0
20,95709,1
37,71682,0
36,77494,0
43,99317,0
20,83215,0
36,96587,1
37,24949,0
49,73393,0
24,43934,0
50,93745,0
35,112456,1
18,71413,0
28,115239,1
45,60318,0
42,88390,0
40,61088,1
48,121196,0
47,73479,0
24,37963,1
33,73123,0
43,143911,1
19,120468,0
18,91477,1
29,32388,1
22,23569,0
49,87836,1
